Testperson, Testcounter, Distance, RealWidth, Time, DifficultyIndex
1, 0, 111.01801655587259, 136.63755883799703, 1094, 0.8579809951275721
1, 1, 286.53097563788805, 57.30619512757762, 1414, 2.584962500721156
1, 2, 382.4264635194589, 134.9740459480443, 1348, 1.9385994553358568
1, 3, 365.3080891521566, 46.388328781226235, 1533, 3.1497471195046827
1, 4, 427.93106921559223, 50.34483167242262, 1640, 3.247927513443585
1, 5, 251.09759058979438, 24.49732591119945, 1198, 3.491853096329675
1, 6, 365.0342449688796, 30.84796436356729, 1275, 3.681824039973745
1, 7, 55.90169943749474, 111.80339887498948, 921, 0.5849625007211562
1, 8, 510.3430218980171, 30.468240113314454, 2524, 4.149747119504682
1, 9, 327.4522866006588, 60.45272983396778, 1112, 2.6818240399737454
2, 0, 111.01801655587259, 136.63755883799703, 771, 0.8579809951275721
2, 1, 286.53097563788805, 57.30619512757762, 1450, 2.584962500721156
2, 2, 382.4264635194589, 134.9740459480443, 788, 1.9385994553358568
2, 3, 365.3080891521566, 46.388328781226235, 1478, 3.1497471195046827
2, 4, 427.93106921559223, 50.34483167242262, 2546, 3.247927513443585
2, 5, 251.09759058979438, 24.49732591119945, 1022, 3.491853096329675
2, 6, 365.0342449688796, 30.84796436356729, 1404, 3.681824039973745
2, 7, 55.90169943749474, 111.80339887498948, 732, 0.5849625007211562
2, 8, 510.3430218980171, 30.468240113314454, 2300, 4.149747119504682
2, 9, 327.4522866006588, 60.45272983396778, 1087, 2.6818240399737454
3, 0, 111.01801655587259, 136.63755883799703, 484, 0.8579809951275721
3, 1, 286.53097563788805, 57.30619512757762, 1064, 2.584962500721156
3, 2, 382.4264635194589, 134.9740459480443, 801, 1.9385994553358568
3, 3, 365.3080891521566, 46.388328781226235, 1006, 3.1497471195046827
3, 4, 427.93106921559223, 50.34483167242262, 936, 3.247927513443585
3, 5, 251.09759058979438, 24.49732591119945, 490, 3.491853096329675
3, 6, 365.0342449688796, 30.84796436356729, 878, 3.681824039973745
3, 7, 55.90169943749474, 111.80339887498948, 283, 0.5849625007211562
3, 8, 510.3430218980171, 30.468240113314454, 1134, 4.149747119504682
3, 9, 327.4522866006588, 60.45272983396778, 602, 2.6818240399737454
4, 0, 111.01801655587259, 136.63755883799703, 599, 0.8579809951275721
4, 1, 286.53097563788805, 57.30619512757762, 1157, 2.584962500721156
4, 2, 382.4264635194589, 134.9740459480443, 1320, 1.9385994553358568
4, 3, 365.3080891521566, 46.388328781226235, 1156, 3.1497471195046827
4, 4, 427.93106921559223, 50.34483167242262, 1388, 3.247927513443585
4, 5, 251.09759058979438, 24.49732591119945, 1475, 3.491853096329675
4, 6, 365.0342449688796, 30.84796436356729, 893, 3.681824039973745
4, 7, 55.90169943749474, 111.80339887498948, 607, 0.5849625007211562
4, 8, 510.3430218980171, 30.468240113314454, 2040, 4.149747119504682
4, 9, 327.4522866006588, 60.45272983396778, 1029, 2.6818240399737454
5, 0, 111.01801655587259, 136.63755883799703, 876, 0.8579809951275721
5, 1, 286.53097563788805, 57.30619512757762, 1272, 2.584962500721156
5, 2, 382.4264635194589, 134.9740459480443, 694, 1.9385994553358568
5, 3, 365.3080891521566, 46.388328781226235, 1069, 3.1497471195046827
5, 4, 427.93106921559223, 50.34483167242262, 1069, 3.247927513443585
5, 5, 251.09759058979438, 24.49732591119945, 917, 3.491853096329675
5, 6, 365.0342449688796, 30.84796436356729, 1360, 3.681824039973745
5, 7, 55.90169943749474, 111.80339887498948, 405, 0.5849625007211562
5, 8, 510.3430218980171, 30.468240113314454, 2563, 4.149747119504682
5, 9, 327.4522866006588, 60.45272983396778, 1222, 2.6818240399737454
6, 0, 111.01801655587259, 136.63755883799703, 2072, 0.8579809951275721
6, 1, 286.53097563788805, 57.30619512757762, 636, 2.584962500721156
6, 2, 382.4264635194589, 134.9740459480443, 552, 1.9385994553358568
6, 3, 365.3080891521566, 46.388328781226235, 944, 3.1497471195046827
6, 4, 427.93106921559223, 50.34483167242262, 951, 3.247927513443585
6, 5, 251.09759058979438, 24.49732591119945, 778, 3.491853096329675
6, 6, 365.0342449688796, 30.84796436356729, 1155, 3.681824039973745
6, 7, 55.90169943749474, 111.80339887498948, 655, 0.5849625007211562
6, 8, 510.3430218980171, 30.468240113314454, 876, 4.149747119504682
6, 9, 327.4522866006588, 60.45272983396778, 695, 2.6818240399737454
7, 0, 111.01801655587259, 136.63755883799703, 1476, 0.8579809951275721
7, 1, 286.53097563788805, 57.30619512757762, 530, 2.584962500721156
7, 2, 382.4264635194589, 134.9740459480443, 869, 1.9385994553358568
7, 3, 365.3080891521566, 46.388328781226235, 627, 3.1497471195046827
7, 4, 427.93106921559223, 50.34483167242262, 1511, 3.247927513443585
7, 5, 251.09759058979438, 24.49732591119945, 848, 3.491853096329675
7, 6, 365.0342449688796, 30.84796436356729, 886, 3.681824039973745
7, 7, 55.90169943749474, 111.80339887498948, 801, 0.5849625007211562
7, 8, 510.3430218980171, 30.468240113314454, 1589, 4.149747119504682
7, 9, 327.4522866006588, 60.45272983396778, 1694, 2.6818240399737454
8, 0, 111.01801655587259, 136.63755883799703, 1387, 0.8579809951275721
8, 1, 286.53097563788805, 57.30619512757762, 1656, 2.584962500721156
8, 2, 382.4264635194589, 134.9740459480443, 2175, 1.9385994553358568
8, 3, 365.3080891521566, 46.388328781226235, 1473, 3.1497471195046827
8, 4, 427.93106921559223, 50.34483167242262, 1605, 3.247927513443585
8, 5, 251.09759058979438, 24.49732591119945, 1328, 3.491853096329675
8, 6, 365.0342449688796, 30.84796436356729, 1790, 3.681824039973745
8, 7, 55.90169943749474, 111.80339887498948, 2543, 0.5849625007211562
8, 8, 510.3430218980171, 30.468240113314454, 1484, 4.149747119504682
8, 9, 327.4522866006588, 60.45272983396778, 1066, 2.6818240399737454
9, 0, 111.01801655587259, 136.63755883799703, 396, 0.8579809951275721
9, 1, 286.53097563788805, 57.30619512757762, 693, 2.584962500721156
9, 2, 382.4264635194589, 134.9740459480443, 1042, 1.9385994553358568
9, 3, 365.3080891521566, 46.388328781226235, 763, 3.1497471195046827
9, 4, 427.93106921559223, 50.34483167242262, 1716, 3.247927513443585
9, 5, 251.09759058979438, 24.49732591119945, 867, 3.491853096329675
9, 6, 365.0342449688796, 30.84796436356729, 887, 3.681824039973745
9, 7, 55.90169943749474, 111.80339887498948, 597, 0.5849625007211562
9, 8, 510.3430218980171, 30.468240113314454, 1137, 4.149747119504682
9, 9, 327.4522866006588, 60.45272983396778, 1206, 2.6818240399737454
10, 0, 111.01801655587259, 136.63755883799703, 1397, 0.8579809951275721
10, 1, 286.53097563788805, 57.30619512757762, 1241, 2.584962500721156
